symbol,queriedSymbol,period,strongBuy,buy,hold,sell,strongSell
2815.T,AKEJF,2024-06-01,1,4,2,0,0
2815.T,AKEJF,2024-05-01,1,4,2,0,0
CCO,CCO,2024-08-01,2,4,3,1,0
CCO,CCO,2024-07-01,2,4,3,1,0
CCO,CCO,2024-06-01,2,4,3,1,0
CCO,CCO,2024-05-01,2,4,3,1,0
LND.L,LNDLF,2024-07-01,4,4,1,0,0
LND.L,LNDLF,2024-06-01,4,4,1,0,0
LND.L,LNDLF,2024-05-01,4,4,1,0,0
LND.L,LNDLF,2024-04-01,4,4,1,0,0
ORPHA.CO,OZYMF,2023-06-01,3,5,1,0,0
ORPHA.CO,OZYMF,2023-05-01,3,5,1,0,0
ORPHA.CO,OZYMF,2023-04-01,3,5,1,0,0
ORPHA.CO,OZYMF,2023-03-01,3,5,1,0,0
COGT,COGT,2024-08-01,6,8,3,0,0
COGT,COGT,2024-07-01,6,8,3,0,0
COGT,COGT,2024-06-01,6,8,3,0,0
COGT,COGT,2024-05-01,6,8,3,0,0
EG,EG,2024-08-01,7,7,7,0,0
EG,EG,2024-07-01,7,7,7,0,0
EG,EG,2024-06-01,7,7,7,0,0
EG,EG,2024-05-01,7,7,7,0,0
9551.T,MTWTF,2024-08-01,1,4,3,0,0
9551.T,MTWTF,2024-07-01,1,5,2,0,0
9551.T,MTWTF,2024-06-01,1,5,2,0,0
9551.T,MTWTF,2024-05-01,1,6,2,0,0
WEED.TO,CGC,2024-08-01,0,1,10,7,2
WEED.TO,CGC,2024-07-01,0,1,10,8,2
WEED.TO,CGC,2024-06-01,0,1,9,8,2
WEED.TO,CGC,2024-05-01,0,1,9,8,2
AGRI,AGRI,2023-11-01,2,4,1,0,0
AGRI,AGRI,2023-10-01,2,4,1,0,0
AGRI,AGRI,2023-09-01,2,4,1,0,0
AGRI,AGRI,2023-08-01,2,4,1,0,0
AI.PA,AIQUF,2024-08-01,11,12,9,0,2
AI.PA,AIQUF,2024-07-01,11,14,7,0,2
AI.PA,AIQUF,2024-06-01,11,14,7,0,2
AI.PA,AIQUF,2024-05-01,11,14,7,0,2
VYX,VYX,2024-08-01,5,5,4,0,0
VYX,VYX,2024-07-01,5,5,4,0,0
VYX,VYX,2024-06-01,4,5,4,0,0
VYX,VYX,2024-05-01,4,5,4,0,0
ARQT,ARQT,2024-08-01,3,7,3,0,0
ARQT,ARQT,2024-07-01,3,7,3,0,0
ARQT,ARQT,2024-06-01,3,7,3,0,0
ARQT,ARQT,2024-05-01,3,7,3,0,0
VMAR,VMAR,2024-08-01,2,5,1,0,0
VMAR,VMAR,2024-07-01,2,5,1,0,0
VMAR,VMAR,2024-06-01,2,5,1,0,0
VMAR,VMAR,2024-05-01,2,5,1,0,0
RAIL3.SA,RUMOF,2024-08-01,5,13,2,0,0
RAIL3.SA,RUMOF,2024-07-01,5,13,2,0,0
RAIL3.SA,RUMOF,2024-06-01,5,12,3,0,0
RAIL3.SA,RUMOF,2024-05-01,5,12,3,0,0
GND.JO,GRDLF,2021-12-01,1,3,1,0,0
GND.JO,GRDLF,2021-11-01,1,3,1,0,0
GND.JO,GRDLF,2021-10-01,1,3,1,0,0
GND.JO,GRDLF,2021-09-01,1,3,1,0,0
980.HK,LHUAF,2022-12-01,1,3,1,0,0
980.HK,LHUAF,2022-11-01,1,3,1,0,0
980.HK,LHUAF,2022-10-01,1,3,1,0,0
980.HK,LHUAF,2022-09-01,1,3,1,0,0
ENVX,ENVX,2024-08-01,5,12,2,0,0
ENVX,ENVX,2024-07-01,5,11,2,0,0
ENVX,ENVX,2024-06-01,5,12,2,0,0
ENVX,ENVX,2024-05-01,5,12,2,0,0
2354.TW,FXCOF,2024-08-01,0,0,2,6,2
2354.TW,FXCOF,2024-07-01,0,0,2,6,2
2354.TW,FXCOF,2024-06-01,0,0,2,6,2
2354.TW,FXCOF,2024-05-01,0,0,2,5,2
NAS.OL,NWARF,2024-08-01,2,6,3,0,0
NAS.OL,NWARF,2024-07-01,2,7,2,0,0
NAS.OL,NWARF,2024-06-01,2,7,2,0,0
NAS.OL,NWARF,2024-05-01,2,7,2,0,0
BHB,BHB,2024-08-01,0,0,3,4,1
BHB,BHB,2024-07-01,1,3,2,0,0
BHB,BHB,2024-06-01,1,3,2,0,0
BHB,BHB,2024-05-01,1,3,2,0,0
7282.T,TGOSF,2024-08-01,2,7,4,0,0
7282.T,TGOSF,2024-07-01,2,7,4,0,0
7282.T,TGOSF,2024-06-01,2,7,4,0,0
7282.T,TGOSF,2024-05-01,2,8,3,0,0
WR1.AX,WRSLF,2024-08-01,1,3,1,0,0
WR1.AX,WRSLF,2024-07-01,1,3,1,0,0
WR1.AX,WRSLF,2024-06-01,1,3,1,0,0
WR1.AX,WRSLF,2024-05-01,1,3,1,0,0
SEV.V,SPVNF,2024-03-01,3,5,1,0,0
SEV.V,SPVNF,2024-02-01,3,5,1,0,0
SEV.V,SPVNF,2024-01-01,3,5,1,0,0
SEV.V,SPVNF,2023-12-01,3,5,1,0,0
ZYME,ZYME,2024-08-01,5,5,4,0,0
ZYME,ZYME,2024-07-01,5,5,4,0,0
ZYME,ZYME,2024-06-01,5,5,4,0,0
ZYME,ZYME,2024-05-01,5,5,4,0,0
LVT.CN,LVTTF,2022-10-01,1,3,1,0,0
LVT.CN,LVTTF,2022-09-01,1,3,1,0,0
LVT.CN,LVTTF,2022-08-01,1,3,1,0,0
LVT.CN,LVTTF,2022-07-01,1,3,1,0,0
BTBT,BTBT,2024-08-01,3,6,1,0,0
BTBT,BTBT,2024-07-01,3,6,1,0,0
BTBT,BTBT,2024-06-01,3,6,1,0,0
BTBT,BTBT,2024-05-01,3,6,1,0,0
WAY,WAY,2024-08-01,3,10,1,0,0
8334.T,GMBKF,2024-08-01,0,0,5,3,1
8334.T,GMBKF,2024-07-01,0,0,5,3,1
8334.T,GMBKF,2024-06-01,0,0,5,3,1
8334.T,GMBKF,2024-05-01,0,0,5,3,1
NWO.DE,XINXF,2024-08-01,0,0,4,4,2
NWO.DE,XINXF,2024-07-01,0,0,4,4,2
NWO.DE,XINXF,2024-06-01,0,0,6,3,1
NWO.DE,XINXF,2024-05-01,0,0,6,3,1
3923.T,RKUSF,2024-08-01,2,8,3,1,0
3923.T,RKUSF,2024-07-01,2,8,3,1,0
3923.T,RKUSF,2024-06-01,2,6,4,2,0
3923.T,RKUSF,2024-05-01,2,6,4,1,0
WPRTS.KL,WSTTF,2024-08-01,6,10,8,2,0
WPRTS.KL,WSTTF,2024-07-01,7,14,5,0,0
WPRTS.KL,WSTTF,2024-06-01,8,12,4,1,0
WPRTS.KL,WSTTF,2024-05-01,8,9,5,1,0
2160.HK,MROPF,2024-08-01,3,3,2,0,0
2160.HK,MROPF,2024-07-01,3,3,2,0,0
2160.HK,MROPF,2024-06-01,3,3,2,0,0
2160.HK,MROPF,2024-05-01,3,3,2,0,0
NOS.LS,ZONNF,2024-08-01,4,5,7,3,0
NOS.LS,ZONNF,2024-07-01,4,5,7,3,0
NOS.LS,ZONNF,2024-06-01,4,5,7,3,0
NOS.LS,ZONNF,2024-05-01,4,5,7,3,0
7826.T,FRUYF,2024-08-01,2,4,2,0,0
7826.T,FRUYF,2024-07-01,2,4,2,0,0
7826.T,FRUYF,2024-06-01,3,3,2,0,0
7826.T,FRUYF,2024-05-01,3,2,2,0,0
RUSHA,RUSHB,2024-08-01,5,4,1,0,0
RUSHA,RUSHB,2024-07-01,4,4,1,0,0
RUSHA,RUSHB,2024-06-01,5,4,1,0,0
RUSHA,RUSHB,2024-05-01,5,4,1,0,0
GSK.L,GLAXF,2024-08-01,8,10,12,3,0
GSK.L,GLAXF,2024-07-01,8,11,11,3,0
GSK.L,GLAXF,2024-06-01,8,12,11,3,0
GSK.L,GLAXF,2024-05-01,8,12,10,3,0
OTP.BD,OTPBF,2024-08-01,6,8,3,1,0
OTP.BD,OTPBF,2024-07-01,6,8,4,0,0
OTP.BD,OTPBF,2024-06-01,5,8,5,0,0
OTP.BD,OTPBF,2024-05-01,5,8,5,0,0
ATEA.OL,ATAZF,2024-08-01,5,5,1,1,0
ATEA.OL,ATAZF,2024-07-01,5,4,2,1,0
ATEA.OL,ATAZF,2024-06-01,4,5,1,1,0
ATEA.OL,ATAZF,2024-05-01,4,5,1,1,0
JFC.PM,JBFCF,2024-08-01,3,9,2,1,0
JFC.PM,JBFCF,2024-07-01,3,9,2,1,0
JFC.PM,JBFCF,2024-06-01,4,9,2,1,0
JFC.PM,JBFCF,2024-05-01,4,9,2,1,0
LBRDA,LBRDB,2024-08-01,4,7,1,1,0
LBRDA,LBRDB,2024-07-01,4,7,1,1,0
LBRDA,LBRDB,2024-06-01,4,7,1,1,0
LBRDA,LBRDB,2024-05-01,4,6,1,1,0
GLMD,GLMD,2024-08-01,2,4,1,0,0
GLMD,GLMD,2024-07-01,2,4,1,0,0
GLMD,GLMD,2024-06-01,2,4,1,0,0
GLMD,GLMD,2024-05-01,2,4,1,0,0
APM.AX,APMHF,2024-08-01,0,0,6,3,1
APM.AX,APMHF,2024-07-01,0,0,6,3,1
APM.AX,APMHF,2024-06-01,1,3,4,0,0
APM.AX,APMHF,2024-05-01,1,3,4,0,0
STBA,STBA,2024-08-01,0,0,7,1,2
STBA,STBA,2024-07-01,0,0,7,1,2
STBA,STBA,2024-06-01,0,0,7,1,2
STBA,STBA,2024-05-01,0,0,7,1,2
TAU.V,THSGF,2024-08-01,3,8,1,0,0
TAU.V,THSGF,2024-07-01,3,8,1,0,0
TAU.V,THSGF,2024-06-01,3,9,1,0,0
TAU.V,THSGF,2024-05-01,3,6,1,0,0
BWLPG.OL,BWLP,2024-08-01,6,6,2,0,0
BWLPG.OL,BWLP,2024-07-01,6,7,1,0,0
BWLPG.OL,BWLP,2024-06-01,6,7,2,0,0
BWLPG.OL,BWLP,2024-05-01,5,7,4,0,0
AMS.SW,AUKUF,2024-08-01,1,2,6,5,2
AMS.SW,AUKUF,2024-07-01,2,5,4,2,1
AMS.SW,AUKUF,2024-06-01,2,5,4,2,1
AMS.SW,AUKUF,2024-05-01,2,5,5,2,1
KGL.AX,KGLLF,2024-02-01,1,3,1,0,0
KGL.AX,KGLLF,2024-01-01,1,3,1,0,0
KGL.AX,KGLLF,2023-12-01,1,3,1,0,0
KGL.AX,KGLLF,2023-11-01,1,3,1,0,0
LIFT.V,LIFFF,2024-08-01,1,6,1,0,0
LIFT.V,LIFFF,2024-07-01,1,6,1,0,0
LIFT.V,LIFFF,2024-06-01,1,5,1,0,0
LIFT.V,LIFFF,2024-05-01,1,5,1,0,0
ACC.OL,AKCCF,2024-08-01,2,7,6,0,0
ACC.OL,AKCCF,2024-07-01,2,7,6,0,0
ACC.OL,AKCCF,2024-06-01,2,7,6,0,0
ACC.OL,AKCCF,2024-05-01,2,7,6,0,0
ARBE,ARBE,2024-08-01,2,7,1,0,0
ARBE,ARBE,2024-07-01,2,7,1,0,0
ARBE,ARBE,2024-06-01,2,7,1,0,0
ARBE,ARBE,2024-05-01,2,8,1,0,0
HLMN,HLMN,2024-08-01,6,8,2,0,0
HLMN,HLMN,2024-07-01,6,8,2,0,0
HLMN,HLMN,2024-06-01,6,8,2,0,0
HLMN,HLMN,2024-05-01,6,8,2,0,0
VSTM,VSTM,2024-08-01,3,10,1,0,0
VSTM,VSTM,2024-07-01,3,10,1,0,0
VSTM,VSTM,2024-06-01,3,10,1,0,0
VSTM,VSTM,2024-05-01,3,10,1,0,0
ETL.PA,EUTLF,2024-08-01,0,0,7,9,2
ETL.PA,EUTLF,2024-07-01,0,0,7,9,2
ETL.PA,EUTLF,2024-06-01,0,0,6,9,2
ETL.PA,EUTLF,2024-05-01,1,0,5,9,2
PLXS,PLXS,2024-08-01,2,6,4,0,0
PLXS,PLXS,2024-07-01,2,6,4,0,0
PLXS,PLXS,2024-06-01,2,6,4,0,0
PLXS,PLXS,2024-05-01,2,6,4,0,0
GBLB.BR,GBLBF,2024-08-01,5,5,3,0,0
GBLB.BR,GBLBF,2024-07-01,5,5,3,0,0
GBLB.BR,GBLBF,2024-06-01,5,5,3,0,0
GBLB.BR,GBLBF,2024-05-01,4,4,3,0,0
LLOY.L,LLDTF,2024-08-01,3,8,10,1,0
LLOY.L,LLDTF,2024-07-01,4,10,7,2,0
LLOY.L,LLDTF,2024-06-01,4,10,6,2,0
LLOY.L,LLDTF,2024-05-01,5,9,6,2,0
1801.HK,IVBXF,2024-08-01,13,20,2,0,0
1801.HK,IVBXF,2024-07-01,13,20,2,0,0
1801.HK,IVBXF,2024-06-01,15,18,2,0,0
1801.HK,IVBXF,2024-05-01,13,18,2,0,0
EML.AX,EMCHF,2024-08-01,1,3,4,0,0
EML.AX,EMCHF,2024-07-01,1,3,4,0,0
EML.AX,EMCHF,2024-06-01,1,3,4,0,0
EML.AX,EMCHF,2024-05-01,1,3,4,0,0
UTDPLT.KL,UPBMF,2024-08-01,0,0,3,2,1
UTDPLT.KL,UPBMF,2024-07-01,0,0,3,2,1
UTDPLT.KL,UPBMF,2024-06-01,0,0,3,2,1
UTDPLT.KL,UPBMF,2024-05-01,0,0,3,2,1
ASM.TO,ASM,2024-08-01,1,4,1,0,0
ASM.TO,ASM,2024-07-01,1,4,1,0,0
ASM.TO,ASM,2024-06-01,1,4,1,0,0
ASM.TO,ASM,2024-05-01,1,4,1,0,0
NBR,NBR,2024-08-01,1,1,9,6,1
NBR,NBR,2024-07-01,1,1,9,6,1
NBR,NBR,2024-06-01,1,1,9,6,1
NBR,NBR,2024-05-01,1,1,9,6,1
UNH,UNH,2024-08-01,12,18,2,0,0
UNH,UNH,2024-07-01,11,19,3,0,0
UNH,UNH,2024-06-01,11,18,4,0,0
UNH,UNH,2024-05-01,10,18,4,0,0
DMTK,DMTKQ,2024-08-01,0,0,3,1,2
DMTK,DMTKQ,2024-07-01,0,0,3,1,2
DMTK,DMTKQ,2024-06-01,2,5,3,0,0
DMTK,DMTKQ,2024-05-01,2,5,3,0,0
BZFD,BZFD,2024-04-01,0,0,3,1,2
BZFD,BZFD,2024-03-01,0,0,3,1,2
BZFD,BZFD,2024-02-01,0,0,3,1,2
BZFD,BZFD,2024-01-01,0,0,3,1,2
SPK.NZ,NZTCF,2024-08-01,1,6,5,0,0
SPK.NZ,NZTCF,2024-07-01,1,6,4,1,0
SPK.NZ,NZTCF,2024-06-01,1,5,5,1,0
SPK.NZ,NZTCF,2024-05-01,1,4,6,1,0
WNEB,WNEB,2024-08-01,0,0,5,1,2
WNEB,WNEB,2024-07-01,3,4,2,0,0
WNEB,WNEB,2024-06-01,3,4,2,0,0
WNEB,WNEB,2024-05-01,3,4,3,0,0
VTSC.DE,VTSCF,2024-08-01,3,4,9,0,0
VTSC.DE,VTSCF,2024-07-01,3,4,9,0,0
VTSC.DE,VTSCF,2024-06-01,3,3,10,0,0
VTSC.DE,VTSCF,2024-05-01,2,4,11,0,0
CET.TO,CETEF,2024-08-01,1,6,1,0,0
CET.TO,CETEF,2024-07-01,1,6,1,0,0
CET.TO,CETEF,2024-06-01,1,7,1,0,0
CET.TO,CETEF,2024-05-01,1,7,1,0,0
SUS.ST,SUSRF,2024-08-01,3,4,2,0,0
SUS.ST,SUSRF,2024-07-01,3,4,2,0,0
SUS.ST,SUSRF,2024-06-01,3,4,2,0,0
SUS.ST,SUSRF,2024-05-01,3,4,2,0,0
669.HK,TTNDF,2024-08-01,5,14,2,0,0
669.HK,TTNDF,2024-07-01,5,14,2,0,0
669.HK,TTNDF,2024-06-01,6,13,2,0,0
669.HK,TTNDF,2024-05-01,6,13,2,0,0
DLX,DLX,2024-08-01,2,3,2,0,0
DLX,DLX,2024-07-01,2,3,2,0,0
DLX,DLX,2024-06-01,2,3,2,0,0
DLX,DLX,2024-05-01,2,3,2,0,0
MDU,MDU,2024-08-01,4,2,2,0,0
MDU,MDU,2024-07-01,4,2,2,0,0
MDU,MDU,2024-06-01,4,2,2,0,0
MDU,MDU,2024-05-01,3,2,3,0,0
REPL,REPL,2024-08-01,6,8,1,0,0
REPL,REPL,2024-07-01,6,8,1,0,0
REPL,REPL,2024-06-01,6,8,1,0,0
REPL,REPL,2024-05-01,6,8,1,0,0
TBBK,TBBK,2024-08-01,2,6,1,0,0
TBBK,TBBK,2024-07-01,2,6,1,0,0
TBBK,TBBK,2024-06-01,2,6,1,0,0
TBBK,TBBK,2024-05-01,2,6,1,0,0
TMQ.TO,TMQ,2024-08-01,1,4,4,0,0
TMQ.TO,TMQ,2024-07-01,1,5,3,0,0
TMQ.TO,TMQ,2024-06-01,1,5,3,0,0
TMQ.TO,TMQ,2024-05-01,1,6,2,0,0
CLF,CLF,2024-08-01,1,2,9,6,2
CLF,CLF,2024-07-01,2,1,10,6,2
CLF,CLF,2024-06-01,3,5,6,1,1
CLF,CLF,2024-05-01,2,5,6,1,1
COA.L,CGGGF,2024-08-01,5,10,2,0,0
COA.L,CGGGF,2024-07-01,5,10,2,0,0
COA.L,CGGGF,2024-06-01,5,10,2,0,0
COA.L,CGGGF,2024-05-01,6,9,2,0,0
PXLW,PXLW,2024-08-01,2,6,1,0,0
PXLW,PXLW,2024-07-01,2,6,1,0,0
PXLW,PXLW,2024-06-01,2,6,1,0,0
PXLW,PXLW,2024-05-01,2,6,1,0,0
REP.MC,REPYF,2024-08-01,7,17,8,1,0
REP.MC,REPYF,2024-07-01,7,18,7,1,0
REP.MC,REPYF,2024-06-01,7,18,7,1,0
REP.MC,REPYF,2024-05-01,7,18,7,1,0
TOY.AX,TOYRF,2024-08-01,1,3,1,0,0
TOY.AX,TOYRF,2024-07-01,1,3,1,0,0
TOY.AX,TOYRF,2024-06-01,1,3,1,0,0
TOY.AX,TOYRF,2023-09-01,1,3,1,0,0
LRMR,LRMR,2024-08-01,6,5,1,0,0
LRMR,LRMR,2024-07-01,6,5,1,0,0
LRMR,LRMR,2024-06-01,6,5,1,0,0
LRMR,LRMR,2024-05-01,6,5,1,0,0
PD.TO,PDS,2024-08-01,4,14,2,0,0
PD.TO,PDS,2024-07-01,4,14,2,0,0
PD.TO,PDS,2024-06-01,4,15,2,0,0
PD.TO,PDS,2024-05-01,4,15,2,0,0
CYL.AX,CTYMF,2024-08-01,1,4,1,0,0
CYL.AX,CTYMF,2024-07-01,1,3,1,0,0
CYL.AX,CTYMF,2024-06-01,1,3,1,0,0
CYL.AX,CTYMF,2024-05-01,1,3,1,0,0
NZX.NZ,NZSTF,2024-08-01,1,5,1,0,0
NZX.NZ,NZSTF,2024-07-01,1,5,1,0,0
NZX.NZ,NZSTF,2024-06-01,1,5,1,0,0
NZX.NZ,NZSTF,2024-05-01,1,5,1,0,0
PARRO.PA,PAOTF,2021-12-01,0,0,3,1,3
PARRO.PA,PAOTF,2021-11-01,0,0,3,1,3
PARRO.PA,PAOTF,2021-10-01,0,0,3,1,3
PARRO.PA,PAOTF,2021-09-01,0,0,3,1,3
FLNT,FLNT,2024-08-01,0,0,4,1,2
FLNT,FLNT,2024-07-01,0,0,4,1,2
FLNT,FLNT,2024-06-01,0,0,4,1,2
FLNT,FLNT,2024-05-01,0,0,4,1,2
EVOK,EVOK,2024-08-01,2,4,1,0,0
EVOK,EVOK,2024-07-01,2,4,1,0,0
EVOK,EVOK,2024-06-01,2,4,1,0,0
EVOK,EVOK,2024-05-01,2,4,1,0,0
6666.HK,EVGPF,2024-06-01,0,0,2,5,2
6666.HK,EVGPF,2024-05-01,0,0,2,5,2
6666.HK,EVGPF,2024-04-01,0,0,2,5,2
6666.HK,EVGPF,2024-03-01,0,0,2,5,2
VIS.MC,VSCFF,2024-08-01,4,9,3,0,0
VIS.MC,VSCFF,2024-07-01,4,9,3,0,0
VIS.MC,VSCFF,2024-06-01,4,9,3,0,0
VIS.MC,VSCFF,2024-05-01,4,10,2,0,0
HAS,HAS,2024-08-01,7,8,4,0,0
HAS,HAS,2024-07-01,8,6,5,0,0
HAS,HAS,2024-06-01,7,6,6,0,0
HAS,HAS,2024-05-01,7,5,7,0,0
SGRY,SGRY,2024-08-01,5,10,3,0,0
SGRY,SGRY,2024-07-01,6,9,3,0,0
SGRY,SGRY,2024-06-01,6,8,3,0,0
SGRY,SGRY,2024-05-01,6,8,3,0,0
XPER,XPER,2024-08-01,3,6,1,0,0
XPER,XPER,2024-07-01,3,6,1,0,0
XPER,XPER,2024-06-01,3,6,1,0,0
XPER,XPER,2024-05-01,3,6,1,0,0
CHEF,CHEF,2024-08-01,5,8,1,0,0
CHEF,CHEF,2024-07-01,5,8,1,0,0
CHEF,CHEF,2024-06-01,5,8,1,0,0
CHEF,CHEF,2024-05-01,5,8,1,0,0
GHC,GHC,2024-08-01,0,0,2,5,1
GHC,GHC,2024-07-01,0,0,2,5,1
GHC,GHC,2024-06-01,0,0,2,5,1
GHC,GHC,2024-05-01,0,0,2,5,1
GO,GO,2024-08-01,4,9,6,2,0
GO,GO,2024-07-01,4,8,6,2,0
GO,GO,2024-06-01,4,8,6,2,0
GO,GO,2024-05-01,4,8,6,2,0
PRST,PRST,2024-08-01,0,0,3,1,2
PRST,PRST,2024-07-01,0,0,3,1,2
PRST,PRST,2024-06-01,0,0,4,1,2
PRST,PRST,2024-05-01,2,4,3,0,0
GWRE,GWRE,2024-08-01,7,10,3,1,0
GWRE,GWRE,2024-07-01,7,10,3,1,0
GWRE,GWRE,2024-06-01,7,10,3,1,0
GWRE,GWRE,2024-05-01,7,10,3,1,0
CARA.OL,APXZF,2024-07-01,3,3,1,0,0
CARA.OL,APXZF,2024-06-01,3,3,1,0,0
CARA.OL,APXZF,2024-05-01,3,3,1,0,0
CARA.OL,APXZF,2024-04-01,3,3,1,0,0
OSK,OSK,2024-08-01,5,7,9,1,0
OSK,OSK,2024-07-01,5,6,9,1,0
OSK,OSK,2024-06-01,4,6,9,1,0
OSK,OSK,2024-05-01,4,6,9,1,0
1628.HK,YUZHF,2024-06-01,0,0,2,5,2
1628.HK,YUZHF,2024-05-01,0,0,2,5,2
1628.HK,YUZHF,2024-04-01,0,0,2,5,2
1628.HK,YUZHF,2024-03-01,0,0,2,5,2
THA.JO,TIHRF,2024-08-01,2,4,2,0,1
THA.JO,TIHRF,2024-07-01,2,4,2,0,1
THA.JO,TIHRF,2024-06-01,2,4,2,0,1
THA.JO,TIHRF,2024-05-01,2,4,2,0,1
9517.T,ERXCF,2024-08-01,0,0,4,4,1
9517.T,ERXCF,2024-07-01,0,0,4,4,1
9517.T,ERXCF,2024-06-01,0,0,4,4,1
9517.T,ERXCF,2024-05-01,0,0,4,4,1
CTOS,CTOS,2024-08-01,4,5,3,0,0
CTOS,CTOS,2024-07-01,4,5,3,0,0
CTOS,CTOS,2024-06-01,4,5,2,0,0
CTOS,CTOS,2024-05-01,4,5,2,0,0
ACXP,ACXP,2024-08-01,2,5,1,0,0
ACXP,ACXP,2024-07-01,2,5,1,0,0
ACXP,ACXP,2024-06-01,2,5,1,0,0
ACXP,ACXP,2024-05-01,2,5,1,0,0
AF.PA,AFRAF,2024-08-01,3,3,9,8,3
AF.PA,AFRAF,2024-07-01,6,8,8,5,0
AF.PA,AFRAF,2024-06-01,6,9,6,5,0
AF.PA,AFRAF,2024-05-01,6,8,5,5,0
HUH1V.HE,HOYFF,2024-08-01,6,10,4,0,0
HUH1V.HE,HOYFF,2024-07-01,6,10,4,0,0
HUH1V.HE,HOYFF,2024-06-01,6,9,5,0,0
HUH1V.HE,HOYFF,2024-05-01,6,9,5,0,0
QUAD,QUAD,2024-08-01,3,4,1,0,0
QUAD,QUAD,2024-07-01,3,4,1,0,0
QUAD,QUAD,2024-06-01,3,3,1,0,0
QUAD,QUAD,2024-05-01,3,3,1,0,0
KLG,KLG,2024-08-01,0,0,8,7,1
KLG,KLG,2024-07-01,0,0,9,6,1
KLG,KLG,2024-06-01,0,0,11,5,1
KLG,KLG,2024-05-01,0,0,11,5,1
ET.TO,EVTZF,2024-08-01,3,7,1,0,0
ET.TO,EVTZF,2024-07-01,3,7,1,0,0
ET.TO,EVTZF,2024-06-01,3,7,1,0,0
ET.TO,EVTZF,2024-05-01,3,7,1,0,0
OBDC,OBDC,2024-08-01,6,7,3,1,0
OBDC,OBDC,2024-07-01,6,8,3,1,0
OBDC,OBDC,2024-06-01,6,8,3,1,0
OBDC,OBDC,2024-05-01,6,9,2,1,0
AHT.L,ASHTF,2024-08-01,8,13,6,1,0
AHT.L,ASHTF,2024-07-01,8,14,5,1,0
AHT.L,ASHTF,2024-06-01,8,15,6,0,0
AHT.L,ASHTF,2024-05-01,9,14,6,0,0
GASX.V,GASXF,2024-08-01,2,3,1,0,0
GASX.V,GASXF,2024-07-01,1,3,1,0,0
GASX.V,GASXF,2024-06-01,1,4,1,0,0
GASX.V,GASXF,2024-05-01,1,4,1,0,0
9928.T,RKICF,2022-10-01,0,0,3,3,1
9928.T,RKICF,2022-09-01,0,0,3,3,1
9928.T,RKICF,2022-08-01,0,0,3,3,1
9928.T,RKICF,2022-07-01,0,0,3,3,1
DFH,DFH,2024-08-01,0,0,5,4,1
DFH,DFH,2024-07-01,0,0,5,4,1
DFH,DFH,2024-06-01,0,0,5,4,1
DFH,DFH,2024-05-01,0,0,5,4,1
1113.HK,CHKGF,2024-08-01,2,7,10,0,0
1113.HK,CHKGF,2024-07-01,2,7,9,1,0
1113.HK,CHKGF,2024-06-01,2,7,9,1,0
1113.HK,CHKGF,2024-05-01,2,7,9,1,0
THC,THC,2024-08-01,8,14,3,0,0
THC,THC,2024-07-01,8,14,3,0,0
THC,THC,2024-06-01,8,13,3,0,0
THC,THC,2024-05-01,7,13,3,0,0
AROW,AROW,2024-08-01,0,0,3,1,2
AROW,AROW,2024-07-01,0,0,3,1,2
AROW,AROW,2024-06-01,0,0,3,1,2
AROW,AROW,2024-05-01,0,0,4,1,2
EMPR.V,EMPYF,2024-08-01,1,3,1,0,0
EMPR.V,EMPYF,2024-07-01,1,3,1,0,0
EMPR.V,EMPYF,2024-06-01,1,3,1,0,0
EMPR.V,EMPYF,2024-05-01,1,3,1,0,0
SYRE,SYRE,2024-08-01,7,6,1,0,0
SYRE,SYRE,2024-07-01,7,6,1,0,0
SYRE,SYRE,2024-06-01,7,6,1,0,0
SYRE,SYRE,2024-05-01,6,6,1,0,0
1357.HK,MEIUF,2024-08-01,7,8,1,0,0
1357.HK,MEIUF,2024-07-01,8,8,1,0,0
1357.HK,MEIUF,2024-06-01,8,8,1,0,0
1357.HK,MEIUF,2024-05-01,8,7,1,0,0
GVR.IR,GLVHF,2024-08-01,1,4,3,0,0
GVR.IR,GLVHF,2024-07-01,1,4,3,0,0
GVR.IR,GLVHF,2024-06-01,1,4,4,0,0
GVR.IR,GLVHF,2024-05-01,1,4,3,0,0
SVVC,SVVC,2021-12-01,3,3,1,0,0
SVVC,SVVC,2021-11-01,3,3,1,0,0
SVVC,SVVC,2021-10-01,3,3,1,0,0
SVVC,SVVC,2021-09-01,3,3,1,0,0
HNSA.ST,HNSBF,2024-08-01,4,5,1,0,0
HNSA.ST,HNSBF,2024-07-01,4,5,1,0,0
HNSA.ST,HNSBF,2024-06-01,4,5,1,0,0
HNSA.ST,HNSBF,2024-05-01,4,5,1,1,0
NTGY.MC,GASNF,2024-08-01,1,0,10,9,4
NTGY.MC,GASNF,2024-07-01,1,1,7,11,4
NTGY.MC,GASNF,2024-06-01,0,1,9,11,3
NTGY.MC,GASNF,2024-05-01,0,1,9,11,3
AEVA,AEVA,2024-08-01,3,5,3,0,0
AEVA,AEVA,2024-07-01,3,5,3,0,0
AEVA,AEVA,2024-06-01,3,5,3,0,0
AEVA,AEVA,2024-05-01,3,5,3,0,0
VHI.TO,VHIBF,2024-08-01,3,6,1,0,0
VHI.TO,VHIBF,2024-07-01,3,6,1,0,0
VHI.TO,VHIBF,2024-06-01,3,6,1,0,0
